"DataExtractDate","ReportPeriod","Arrival_Departure","Domestic_International","CargoType","AirCargoTons"
"2023 Nov 18 05:28:20 AM","Oct 2023","Arrival","Domestic","Mail","1,051"
"2023 Nov 18 05:28:20 AM","Oct 2023","Arrival","International","Mail","835"
"2023 Nov 18 05:28:20 AM","Oct 2023","Departure","International","Freight","44,583"
"2018 Apr 18 03:12:41 PM","Feb 2013","Arrival","International","Mail","533"
"2018 Apr 18 03:12:41 PM","Jun 2008","Departure","Domestic","Mail","2,166"
"2018 Apr 18 03:12:41 PM","Mar 2007","Departure","International","Mail","1,241"
"2020 Jun 01 07:57:59 AM","Apr 2020","Arrival","International","Mail","824"
"2018 Apr 18 03:12:41 PM","May 2017","Arrival","Domestic","Mail","2,813"
"2018 Apr 18 03:12:41 PM","Dec 2007","Departure","International","Freight","34,488"
"2018 Apr 18 03:12:41 PM","Mar 2008","Arrival","Domestic","Freight","32,797"
"2018 Apr 18 03:12:41 PM","Oct 2012","Departure","Domestic","Freight","35,869"
"2020 Feb 28 08:21:30 AM","Jan 2020","Departure","International","Mail","1,821"
"2018 Apr 18 03:12:41 PM","Sep 2016","Arrival","International","Mail","1,177"
"2018 Apr 18 03:12:41 PM","Nov 2017","Arrival","International","Mail","1,394"
"2021 Feb 02 08:17:02 AM","Dec 2020","Departure","International","Freight","51,822"
"2018 Apr 18 03:12:41 PM","Sep 2010","Arrival","Domestic","Mail","1,356"
"2018 Apr 18 03:12:41 PM","Oct 2015","Departure","Domestic","Mail","2,710"
"2020 Feb 28 08:21:30 AM","Jan 2020","Arrival","International","Mail","1,192"
"2018 Apr 18 03:12:41 PM","Sep 2008","Arrival","Domestic","Freight","26,989"
"2018 Apr 18 03:12:41 PM","Jul 2013","Arrival","International","Mail","782"
"2018 Jul 11 02:24:22 PM","May 2018","Departure","International","Mail","1,035"
"2018 Apr 18 03:12:41 PM","Aug 2015","Arrival","International","Freight","58,453"
"2018 Apr 18 03:12:41 PM","Jun 2011","Departure","International","Freight","45,423"
"2018 Apr 18 03:12:41 PM","Mar 2006","Departure","Domestic","Mail","3,836"
"2018 Apr 18 03:12:41 PM","Jun 2012","Departure","International","Mail","1,806"
"2018 Apr 18 03:12:41 PM","Jan 2014","Departure","Domestic","Mail","2,312"
"2018 Apr 18 03:12:41 PM","Mar 2011","Arrival","International","Mail","537"
"2018 Apr 18 03:12:41 PM","Jun 2010","Departure","International","Mail","1,718"
"2018 Apr 18 03:12:41 PM","Sep 2016","Departure","International","Mail","996"
"2018 Apr 18 03:12:41 PM","Apr 2015","Arrival","International","Freight","59,639"
"2018 Apr 18 03:12:41 PM","Nov 2015","Arrival","International","Freight","66,886"
"2018 Apr 18 03:12:41 PM","Aug 2013","Departure","International","Freight","42,407"
"2018 Apr 18 03:12:41 PM","Apr 2011","Arrival","International","Mail","514"
"2018 Apr 18 03:12:41 PM","Aug 2013","Arrival","Domestic","Freight","29,052"
"2018 Apr 18 03:12:41 PM","May 2017","Departure","Domestic","Freight","39,177"
"2018 Apr 18 03:12:41 PM","Jul 2009","Arrival","Domestic","Mail","1,261"
"2018 Dec 26 06:52:40 AM","Nov 2018","Departure","Domestic","Freight","41,529"
"2018 Apr 18 03:12:41 PM","Jul 2012","Departure","Domestic","Mail","2,665"
"2018 Apr 18 03:12:41 PM","Mar 2014","Arrival","International","Freight","53,873"
"2018 Apr 18 03:12:41 PM","Mar 2018","Departure","Domestic","Mail","3,621"
"2018 Apr 18 03:12:41 PM","Apr 2007","Arrival","International","Mail","722"
"2018 Apr 18 03:12:41 PM","Dec 2017","Departure","International","Mail","1,480"
"2018 Apr 18 03:12:41 PM","Mar 2014","Departure","International","Freight","46,565"
"2018 Apr 18 03:12:41 PM","Apr 2016","Arrival","Domestic","Mail","1,748"
"2018 Apr 18 03:12:41 PM","Jul 2016","Arrival","International","Mail","2,515"
"2020 Jan 02 10:43:42 AM","Nov 2019","Departure","International","Freight","47,075"
"2018 Apr 18 03:12:41 PM","Jul 2012","Departure","International","Mail","2,746"
"2018 Apr 18 03:12:41 PM","Jul 2006","Departure","Domestic","Freight","38,969"
"2018 Apr 18 03:12:41 PM","Jan 2018","Departure","Domestic","Freight","35,259"
"2018 Apr 18 03:12:41 PM","Dec 2015","Arrival","International","Freight","55,744"
